# Inputs `services/name_rules.normalize_nfc` normalises differently from OTP.
# Each line is `INPUT<TAB>WHAT-WE-PRODUCE`, both comma-separated hex.
#
# Keyed on the OUTPUT as well as the input. Keying on the input alone exempted
# a quarter of the corpus from output checking entirely: deleting the
# `previous_ccc == 0` clause from `_compose` — the whole point of that function
# — left `check.py` at exit 0, because the rows it broke were already listed
# for a different reason. `check.py` also asserts this file's row count.
#
# Rows are DEDUPED. An earlier revision listed 24 signatures twice, every one
# `1100..1117,AC00,11A7`, produced where two generators in probe.exs overlap.
# `check.py` compares deduped to deduped, so it could not see a row listed
# twice. The count in the banner below is the unique one, and is the figure
# `check.py` asserts against.
#
# ==========================================================================
#   17423 unique diverging signatures out of 72269 corpus rows.
#
#     group 1       32   composition rule (base, mark, class-zero, lower mark)
#     group 2A     616   jamo lead + non-Hangul two-part vowel
#     group 2B   15652   jamo lead + precomposed Hangul syllable
#     group 2C     126   jamo lead + bare jamo  (REVERSE direction of 2B)
#     group 2D     997   OTP deletes U+11A7 after an LV syllable or L+V pair
# ==========================================================================
#
# READ THIS BEFORE CHANGING `_compose`:
#
#   * 2C IS THE REVERSE DIRECTION FROM 2B. A fix aimed only at 2B makes 2C
#     worse. This is the trap in this artefact.
#   * 2D is PURE HANGUL — no second script involved — so do not describe the
#     gap as cross-script. It was invisible until the trailers were extended
#     down to U+11A7; they started at U+11A8.
#   * These counts are NOT the size of the gap. They are the size of the
#     intersection between the gap and this corpus. Measured exhaustively
#     rather than over the probe, groups 1, 2A and 2C are 91,200 / >=3,604 /
#     10,773 — three orders of magnitude apart from what the probe finds for
#     group 1. They looked steady across earlier widenings only because those
#     widenings moved the axis 2B feeds on and left the others alone.
#   * 2B does not converge. It diverges for 106 of 125 jamo leads (84.8%).
#
# --- what these are ---
#
# GROUP 1 -- the composition-rule gap documented in `normalize_nfc`: a base, a
# mark, any class-zero character, then a mark of lower class.
#
# GROUPS 2A-2D -- the Hangul routing gap, OpenFn/apollo#655. `_compose` sends
# any cluster containing a Hangul-class character to Python's spec NFC, and OTP
# instead composes onto the cluster lead. That is FOUR mechanisms:
#
#   2A -- a jamo lead followed by a *non-Hangul* two-part vowel (Indic,
#      Sinhala, Balinese). No Hangul syllable involved, which is why it is the
#      least obvious.
#   2B -- a jamo lead followed by a precomposed Hangul syllable, which OTP
#      decomposes because it is not the cluster lead. `U+1113 U+AC00` is
#      `1113,1100,1161` in OTP and `1113,AC00` here.
#   2C -- a jamo lead followed by bare jamo, which we compose into a syllable
#      and OTP leaves apart.
#   2D -- OTP deletes U+11A7 after an LV syllable or an L+V pair, for 100% of
#      the 399 LV syllables. We keep it.
#
# The corpus sweeps the boundary of every range in `name_rules`, plus one
# either side, generated by edges.py — a hand-picked slice never steps across
# an edge, and three rounds running that is where the surviving mutant was.
# It also sweeps the extended jamo blocks (U+A960-A97C lead,
# U+D7B0-D7C6 vowel, U+D7CB-D7FB trailing). It had zero codepoints from all
# three, so narrowing any of the `_HANGUL_*` ranges in `name_rules` left this
# harness at exit 0 while `U+A960 U+1161` went from one grapheme to two.
#
# Ordinary Korean text is unaffected: `한국어`, `안녕하세요` and `환자 등록` all
# round-trip. But 2D is pure Hangul, so do not describe the gap as cross-script.
#
# If you have fixed a group, delete its rows and re-run check.py.
# --- group 1: composition rule (32 rows) ---
41,302,200C,323	1EAC,200C
111E,CC0	111E,CC0
111E,9CB	111E,9CB
111E,BCA	111E,BCA
111E,D4A	111E,D4A
111E,DDC	111E,DDC
111E,1B40	111E,1B40
111E,CC7	111E,CC7
111E,D4C	111E,D4C
111F,CC0	111F,CC0
111F,9CB	111F,9CB
111F,BCA	111F,BCA
111F,D4A	111F,D4A
111F,DDC	111F,DDC
111F,1B40	111F,1B40
111F,CC7	111F,CC7
111F,D4C	111F,D4C
1120,CC0	1120,CC0
1120,9CB	1120,9CB
1120,BCA	1120,BCA
1120,D4A	1120,D4A
1120,DDC	1120,DDC
1120,1B40	1120,1B40
1120,CC7	1120,CC7
1120,D4C	1120,D4C
1121,CC0	1121,CC0
1121,9CB	1121,9CB
1121,BCA	1121,BCA
1121,D4A	1121,D4A
1121,DDC	1121,DDC
1121,1B40	1121,1B40
1121,CC7	1121,CC7
1121,D4C	1121,D4C
1122,CC0	1122,CC0
1122,9CB	1122,9CB
1122,BCA	1122,BCA
1122,D4A	1122,D4A
1122,DDC	1122,DDC
1122,1B40	1122,1B40
1122,CC7	1122,CC7
1122,D4C	1122,D4C
1123,CC0	1123,CC0
1123,9CB	1123,9CB
1123,BCA	1123,BCA
1123,D4A	1123,D4A
1123,DDC	1123,DDC
1123,1B40	1123,1B40
1123,CC7	1123,CC7
1123,D4C	1123,D4C
1124,CC0	1124,CC0
1124,9CB	1124,9CB
1124,BCA	1124,BCA
1124,D4A	1124,D4A
1124,DDC	1124,DDC
1124,1B40	1124,1B40
1124,CC7	1124,CC7
1124,D4C	1124,D4C
1125,CC0	1125,CC0
1125,9CB	1125,9CB
1125,BCA	1125,BCA
1125,D4A	1125,D4A
1125,DDC	1125,DDC
1125,1B40	1125,1B40
1125,CC7	1125,CC7
1125,D4C	1125,D4C
1126,CC0	1126,CC0
1126,9CB	1126,9CB
1126,BCA	1126,BCA
1126,D4A	1126,D4A
1126,DDC	1126,DDC
1126,1B40	1126,1B40
1126,CC7	1126,CC7
1126,D4C	1126,D4C
1127,CC0	1127,CC0
1127,9CB	1127,9CB
1127,BCA	1127,BCA
1127,D4A	1127,D4A
1127,DDC	1127,DDC
1127,1B40	1127,1B40
1127,CC7	1127,CC7
1127,D4C	1127,D4C
1128,CC0	1128,CC0
1128,9CB	1128,9CB
1128,BCA	1128,BCA
1128,D4A	1128,D4A
1128,DDC	1128,DDC
1128,1B40	1128,1B40
1128,CC7	1128,CC7
1128,D4C	1128,D4C
1129,CC0	1129,CC0
1129,9CB	1129,9CB
1129,BCA	1129,BCA
1129,D4A	1129,D4A
1129,DDC	1129,DDC
1129,1B40	1129,1B40
1129,CC7	1129,CC7
1129,D4C	1129,D4C
112A,CC0	112A,CC0
112A,9CB	112A,9CB
112A,BCA	112A,BCA
112A,D4A	112A,D4A
112A,DDC	112A,DDC
112A,1B40	112A,1B40
112A,CC7	112A,CC7
112A,D4C	112A,D4C
112B,CC0	112B,CC0
112B,9CB	112B,9CB
112B,BCA	112B,BCA
112B,D4A	112B,D4A
112B,DDC	112B,DDC
112B,1B40	112B,1B40
112B,CC7	112B,CC7
112B,D4C	112B,D4C
112C,CC0	112C,CC0
112C,9CB	112C,9CB
112C,BCA	112C,BCA
112C,D4A	112C,D4A
112C,DDC	112C,DDC
112C,1B40	112C,1B40
112C,CC7	112C,CC7
112C,D4C	112C,D4C
112D,CC0	112D,CC0
112D,9CB	112D,9CB
112D,BCA	112D,BCA
112D,D4A	112D,D4A
112D,DDC	112D,DDC
112D,1B40	112D,1B40
112D,CC7	112D,CC7
112D,D4C	112D,D4C
112E,CC0	112E,CC0
112E,9CB	112E,9CB
112E,BCA	112E,BCA
112E,D4A	112E,D4A
112E,DDC	112E,DDC
112E,1B40	112E,1B40
112E,CC7	112E,CC7
112E,D4C	112E,D4C
112F,CC0	112F,CC0
112F,9CB	112F,9CB
112F,BCA	112F,BCA
112F,D4A	112F,D4A
112F,DDC	112F,DDC
112F,1B40	112F,1B40
112F,CC7	112F,CC7
112F,D4C	112F,D4C
1130,CC0	1130,CC0
1130,9CB	1130,9CB
1130,BCA	1130,BCA
1130,D4A	1130,D4A
1130,DDC	1130,DDC
1130,1B40	1130,1B40
1130,CC7	1130,CC7
1130,D4C	1130,D4C
1131,CC0	1131,CC0
1131,9CB	1131,9CB
1131,BCA	1131,BCA
1131,D4A	1131,D4A
1131,DDC	1131,DDC
1131,1B40	1131,1B40
1131,CC7	1131,CC7
1131,D4C	1131,D4C
1132,CC0	1132,CC0
1132,9CB	1132,9CB
1132,BCA	1132,BCA
1132,D4A	1132,D4A
1132,DDC	1132,DDC
1132,1B40	1132,1B40
1132,CC7	1132,CC7
1132,D4C	1132,D4C
1133,CC0	1133,CC0
1133,9CB	1133,9CB
1133,BCA	1133,BCA
1133,D4A	1133,D4A
1133,DDC	1133,DDC
1133,1B40	1133,1B40
1133,CC7	1133,CC7
1133,D4C	1133,D4C
1134,CC0	1134,CC0
1134,9CB	1134,9CB
1134,BCA	1134,BCA
1134,D4A	1134,D4A
1134,DDC	1134,DDC
1134,1B40	1134,1B40
1134,CC7	1134,CC7
1134,D4C	1134,D4C
1135,CC0	1135,CC0
1135,9CB	1135,9CB
1135,BCA	1135,BCA
1135,D4A	1135,D4A
1135,DDC	1135,DDC
1135,1B40	1135,1B40
1135,CC7	1135,CC7
1135,D4C	1135,D4C
1136,CC0	1136,CC0
1136,9CB	1136,9CB
1136,BCA	1136,BCA
1136,D4A	1136,D4A
1136,DDC	1136,DDC
1136,1B40	1136,1B40
1136,CC7	1136,CC7
1136,D4C	1136,D4C
1137,CC0	1137,CC0
1137,9CB	1137,9CB
1137,BCA	1137,BCA
1137,D4A	1137,D4A
1137,DDC	1137,DDC
1137,1B40	1137,1B40
1137,CC7	1137,CC7
1137,D4C	1137,D4C
1138,CC0	1138,CC0
1138,9CB	1138,9CB
1138,BCA	1138,BCA
1138,D4A	1138,D4A
1138,DDC	1138,DDC
1138,1B40	1138,1B40
1138,CC7	1138,CC7
1138,D4C	1138,D4C
1139,CC0	1139,CC0
1139,9CB	1139,9CB
1139,BCA	1139,BCA
1139,D4A	1139,D4A
1139,DDC	1139,DDC
1139,1B40	1139,1B40
1139,CC7	1139,CC7
1139,D4C	1139,D4C
113A,CC0	113A,CC0
113A,9CB	113A,9CB
113A,BCA	113A,BCA
113A,D4A	113A,D4A
113A,DDC	113A,DDC
113A,1B40	113A,1B40
113A,CC7	113A,CC7
113A,D4C	113A,D4C
113B,CC0	113B,CC0
113B,9CB	113B,9CB
113B,BCA	113B,BCA
113B,D4A	113B,D4A
113B,DDC	113B,DDC
113B,1B40	113B,1B40
113B,CC7	113B,CC7
113B,D4C	113B,D4C
113C,CC0	113C,CC0
113C,9CB	113C,9CB
113C,BCA	113C,BCA
113C,D4A	113C,D4A
113C,DDC	113C,DDC
113C,1B40	113C,1B40
113C,CC7	113C,CC7
113C,D4C	113C,D4C
113D,CC0	113D,CC0
113D,9CB	113D,9CB
113D,BCA	113D,BCA
113D,D4A	113D,D4A
113D,DDC	113D,DDC
113D,1B40	113D,1B40
113D,CC7	113D,CC7
113D,D4C	113D,D4C
113E,CC0	113E,CC0
113E,9CB	113E,9CB
113E,BCA	113E,BCA
113E,D4A	113E,D4A
113E,DDC	113E,DDC
113E,1B40	113E,1B40
113E,CC7	113E,CC7
113E,D4C	113E,D4C
113F,CC0	113F,CC0
113F,9CB	113F,9CB
113F,BCA	113F,BCA
113F,D4A	113F,D4A
113F,DDC	113F,DDC
113F,1B40	113F,1B40
113F,CC7	113F,CC7
113F,D4C	113F,D4C
1140,CC0	1140,CC0
1140,9CB	1140,9CB
1140,BCA	1140,BCA
1140,D4A	1140,D4A
1140,DDC	1140,DDC
1140,1B40	1140,1B40
1140,CC7	1140,CC7
1140,D4C	1140,D4C
1141,CC0	1141,CC0
1141,9CB	1141,9CB
1141,BCA	1141,BCA
1141,D4A	1141,D4A
1141,DDC	1141,DDC
1141,1B40	1141,1B40
1141,CC7	1141,CC7
1141,D4C	1141,D4C
1142,CC0	1142,CC0
1142,9CB	1142,9CB
1142,BCA	1142,BCA
1142,D4A	1142,D4A
1142,DDC	1142,DDC
1142,1B40	1142,1B40
1142,CC7	1142,CC7
1142,D4C	1142,D4C
1143,CC0	1143,CC0
1143,9CB	1143,9CB
1143,BCA	1143,BCA
1143,D4A	1143,D4A
1143,DDC	1143,DDC
1143,1B40	1143,1B40
1143,CC7	1143,CC7
1143,D4C	1143,D4C
1144,CC0	1144,CC0
1144,9CB	1144,9CB
1144,BCA	1144,BCA
1144,D4A	1144,D4A
1144,DDC	1144,DDC
1144,1B40	1144,1B40
1144,CC7	1144,CC7
1144,D4C	1144,D4C
1145,CC0	1145,CC0
1145,9CB	1145,9CB
1145,BCA	1145,BCA
1145,D4A	1145,D4A
1145,DDC	1145,DDC
1145,1B40	1145,1B40
1145,CC7	1145,CC7
1145,D4C	1145,D4C
1146,CC0	1146,CC0
1146,9CB	1146,9CB
1146,BCA	1146,BCA
1146,D4A	1146,D4A
1146,DDC	1146,DDC
1146,1B40	1146,1B40
1146,CC7	1146,CC7
1146,D4C	1146,D4C
1147,CC0	1147,CC0
1147,9CB	1147,9CB
1147,BCA	1147,BCA
1147,D4A	1147,D4A
1147,DDC	1147,DDC
1147,1B40	1147,1B40
1147,CC7	1147,CC7
1147,D4C	1147,D4C
1148,CC0	1148,CC0
1148,9CB	1148,9CB
1148,BCA	1148,BCA
1148,D4A	1148,D4A
1148,DDC	1148,DDC
1148,1B40	1148,1B40
1148,CC7	1148,CC7
1148,D4C	1148,D4C
1149,CC0	1149,CC0
1149,9CB	1149,9CB
1149,BCA	1149,BCA
1149,D4A	1149,D4A
1149,DDC	1149,DDC
1149,1B40	1149,1B40
1149,CC7	1149,CC7
1149,D4C	1149,D4C
114A,CC0	114A,CC0
114A,9CB	114A,9CB
114A,BCA	114A,BCA
114A,D4A	114A,D4A
114A,DDC	114A,DDC
114A,1B40	114A,1B40
114A,CC7	114A,CC7
114A,D4C	114A,D4C
114B,CC0	114B,CC0
114B,9CB	114B,9CB
114B,BCA	114B,BCA
114B,D4A	114B,D4A
114B,DDC	114B,DDC
114B,1B40	114B,1B40
114B,CC7	114B,CC7
114B,D4C	114B,D4C
114C,CC0	114C,CC0
114C,9CB	114C,9CB
114C,BCA	114C,BCA
114C,D4A	114C,D4A
114C,DDC	114C,DDC
114C,1B40	114C,1B40
114C,CC7	114C,CC7
114C,D4C	114C,D4C
114D,CC0	114D,CC0
114D,9CB	114D,9CB
114D,BCA	114D,BCA
114D,D4A	114D,D4A
114D,DDC	114D,DDC
114D,1B40	114D,1B40
114D,CC7	114D,CC7
114D,D4C	114D,D4C
114E,CC0	114E,CC0
114E,9CB	114E,9CB
114E,BCA	114E,BCA
114E,D4A	114E,D4A
114E,DDC	114E,DDC
114E,1B40	114E,1B40
114E,CC7	114E,CC7
114E,D4C	114E,D4C
114F,CC0	114F,CC0
114F,9CB	114F,9CB
114F,BCA	114F,BCA
114F,D4A	114F,D4A
114F,DDC	114F,DDC
114F,1B40	114F,1B40
114F,CC7	114F,CC7
114F,D4C	114F,D4C
1150,CC0	1150,CC0
1150,9CB	1150,9CB
1150,BCA	1150,BCA
1150,D4A	1150,D4A
1150,DDC	1150,DDC
1150,1B40	1150,1B40
1150,CC7	1150,CC7
1150,D4C	1150,D4C
1151,CC0	1151,CC0
1151,9CB	1151,9CB
1151,BCA	1151,BCA
1151,D4A	1151,D4A
1151,DDC	1151,DDC
1151,1B40	1151,1B40
1151,CC7	1151,CC7
1151,D4C	1151,D4C
1152,CC0	1152,CC0
1152,9CB	1152,9CB
1152,BCA	1152,BCA
1152,D4A	1152,D4A
1152,DDC	1152,DDC
1152,1B40	1152,1B40
1152,CC7	1152,CC7
1152,D4C	1152,D4C
1153,CC0	1153,CC0
1153,9CB	1153,9CB
1153,BCA	1153,BCA
1153,D4A	1153,D4A
1153,DDC	1153,DDC
1153,1B40	1153,1B40
1153,CC7	1153,CC7
1153,D4C	1153,D4C
1154,CC0	1154,CC0
1154,9CB	1154,9CB
1154,BCA	1154,BCA
1154,D4A	1154,D4A
1154,DDC	1154,DDC
1154,1B40	1154,1B40
1154,CC7	1154,CC7
1154,D4C	1154,D4C
1155,CC0	1155,CC0
1155,9CB	1155,9CB
1155,BCA	1155,BCA
1155,D4A	1155,D4A
1155,DDC	1155,DDC
1155,1B40	1155,1B40
1155,CC7	1155,CC7
1155,D4C	1155,D4C
1156,CC0	1156,CC0
1156,9CB	1156,9CB
1156,BCA	1156,BCA
1156,D4A	1156,D4A
1156,DDC	1156,DDC
1156,1B40	1156,1B40
1156,CC7	1156,CC7
1156,D4C	1156,D4C
1157,CC0	1157,CC0
1157,9CB	1157,9CB
1157,BCA	1157,BCA
1157,D4A	1157,D4A
1157,DDC	1157,DDC
1157,1B40	1157,1B40
1157,CC7	1157,CC7
1157,D4C	1157,D4C
1158,CC0	1158,CC0
1158,9CB	1158,9CB
1158,BCA	1158,BCA
1158,D4A	1158,D4A
1158,DDC	1158,DDC
1158,1B40	1158,1B40
1158,CC7	1158,CC7
1158,D4C	1158,D4C
1159,CC0	1159,CC0
1159,9CB	1159,9CB
1159,BCA	1159,BCA
1159,D4A	1159,D4A
1159,DDC	1159,DDC
1159,1B40	1159,1B40
1159,CC7	1159,CC7
1159,D4C	1159,D4C
115A,CC0	115A,CC0
115A,9CB	115A,9CB
115A,BCA	115A,BCA
115A,D4A	115A,D4A
115A,DDC	115A,DDC
115A,1B40	115A,1B40
115A,CC7	115A,CC7
115A,D4C	115A,D4C
115B,CC0	115B,CC0
115B,9CB	115B,9CB
115B,BCA	115B,BCA
115B,D4A	115B,D4A
115B,DDC	115B,DDC
115B,1B40	115B,1B40
115B,CC7	115B,CC7
115B,D4C	115B,D4C
115C,CC0	115C,CC0
115C,9CB	115C,9CB
115C,BCA	115C,BCA
115C,D4A	115C,D4A
115C,DDC	115C,DDC
115C,1B40	115C,1B40
115C,CC7	115C,CC7
115C,D4C	115C,D4C
115D,CC0	115D,CC0
115D,9CB	115D,9CB
115D,BCA	115D,BCA
115D,D4A	115D,D4A
115D,DDC	115D,DDC
115D,1B40	115D,1B40
115D,CC7	115D,CC7
115D,D4C	115D,D4C
115E,CC0	115E,CC0
115E,9CB	115E,9CB
115E,BCA	115E,BCA
115E,D4A	115E,D4A
115E,DDC	115E,DDC
115E,1B40	115E,1B40
115E,CC7	115E,CC7
115E,D4C	115E,D4C
115F,CC0	115F,CC0
115F,9CB	115F,9CB
115F,BCA	115F,BCA
115F,D4A	115F,D4A
115F,DDC	115F,DDC
115F,1B40	115F,1B40
115F,CC7	115F,CC7
115F,D4C	115F,D4C
# --- group 2B: jamo + precomposed syllable (15652 rows) ---
1113,AC00	1113,AC00
1113,AC70	1113,AC70
1113,ACE0	1113,ACE0
1113,AD50	1113,AD50
1113,ADC0	1113,ADC0
1113,AE30	1113,AE30
1113,AEA0	1113,AEA0
1113,AF10	1113,AF10
1113,AF80	1113,AF80
1113,AFF0	1113,AFF0
1113,B060	1113,B060
1113,B0D0	1113,B0D0
1113,B140	1113,B140
1113,B1B0	1113,B1B0
1113,B220	1113,B220
1113,B290	1113,B290
1113,B300	1113,B300
1113,B370	1113,B370
1113,B3E0	1113,B3E0
1113,B450	1113,B450
1113,B4C0	1113,B4C0
1113,B530	1113,B530
1113,B5A0	1113,B5A0
1113,B610	1113,B610
1113,B680	1113,B680
1113,B6F0	1113,B6F0
1113,B760	1113,B760
1113,B7D0	1113,B7D0
1113,B840	1113,B840
1113,B8B0	1113,B8B0
1113,B920	1113,B920
1113,B990	1113,B990
1113,BA00	1113,BA00
1113,BA70	1113,BA70
1113,BAE0	1113,BAE0
1113,BB50	1113,BB50
1113,BBC0	1113,BBC0
1113,BC30	1113,BC30
1113,BCA0	1113,BCA0
1113,BD10	1113,BD10
1113,BD80	1113,BD80
1113,BDF0	1113,BDF0
1113,BE60	1113,BE60
1113,BED0	1113,BED0
1113,BF40	1113,BF40
1113,BFB0	1113,BFB0
1113,C020	1113,C020
1113,C090	1113,C090
1113,C100	1113,C100
1113,C170	1113,C170
1113,C1E0	1113,C1E0
1113,C250	1113,C250
1113,C2C0	1113,C2C0
1113,C330	1113,C330
1113,C3A0	1113,C3A0
1113,C410	1113,C410
1113,C480	1113,C480
1113,C4F0	1113,C4F0
1113,C560	1113,C560
1113,C5D0	1113,C5D0
1113,C640	1113,C640
1113,C6B0	1113,C6B0
1113,C720	1113,C720
1113,C790	1113,C790
1113,C800	1113,C800
1113,C870	1113,C870
1113,C8E0	1113,C8E0
1113,C950	1113,C950
1113,C9C0	1113,C9C0
1113,CA30	1113,CA30
1113,CAA0	1113,CAA0
1113,CB10	1113,CB10
1113,CB80	1113,CB80
1113,CBF0	1113,CBF0
1113,CC60	1113,CC60
1113,CCD0	1113,CCD0
1113,CD40	1113,CD40
1113,CDB0	1113,CDB0
1113,CE20	1113,CE20
1113,CE90	1113,CE90
1113,CF00	1113,CF00
1113,CF70	1113,CF70
1113,CFE0	1113,CFE0
1113,D050	1113,D050
1113,D0C0	1113,D0C0
1113,D130	1113,D130
1113,D1A0	1113,D1A0
1113,D210	1113,D210
1113,D280	1113,D280
1113,D2F0	1113,D2F0
1113,D360	1113,D360
1113,D3D0	1113,D3D0
1113,D440	1113,D440
